Borough_Name,District_Name,Borough_Type,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Price
Академический,ЮЗАО,Муниципальный округ,5.83,109387,18762,2467.0,199999.0
Алексеевский,СВАО,Муниципальный округ,5.29,80534,15223,1607.9,199474.0
Алтуфьевский,СВАО,Муниципальный округ,3.25,57596,17721,839.3,138021.0
Аэропорт,САО,Муниципальный округ,4.58,79486,17355,1939.7,234544.0
Бабушкинский,СВАО,Муниципальный округ,5.07,88537,17462,1586.3,164324.0
Бескудниковский,САО,Муниципальный округ,3.3,79603,24122,1391.7,158398.0
Бирюлёво Западное,ЮАО,Муниципальный округ,8.51,88672,10419,1183.2,109421.0
Богородское,ВАО,Муниципальный округ,10.24,109324,10676,1744.1,178577.0
Братеево,ЮАО,Муниципальный округ,7.63,110021,14419,1585.4,136300.0
Бутырский,СВАО,Муниципальный округ,5.04,71458,14178,1236.2,182641.0
Внуково,ЗАО,Муниципальный округ,17.42,25471,1462,416.6,113399.0
Войковский,САО,Муниципальный округ,6.61,70729,10700,1531.0,207242.0
Восточное Дегунино,САО,Муниципальный округ,3.77,98923,26239,1592.5,146300.0
Восточное Измайлово,ВАО,Муниципальный округ,3.85,78154,20299,706.6,168323.0
Восточный,ВАО,Муниципальный округ,3.14,13689,4359,227.5,118030.0
Головинский,САО,Муниципальный округ,8.93,103197,11556,1806.4,186978.0
Даниловский,ЮАО,Муниципальный округ,12.6,94316,7485,2847.4,221845.0
Дмитровский,САО,Муниципальный округ,7.29,93468,12821,1364.5,147021.0
Донской,ЮАО,Муниципальный округ,5.73,51894,9056,1094.0,227484.0
Западное Дегунино,САО,Муниципальный округ,7.53,84163,11177,1385.1,158225.0
Измайлово,ВАО,Муниципальный округ,15.24,107381,7046,2055.9,192313.0
Капотня,ЮВАО,Муниципальный округ,8.06,32399,4019,408.5,120200.0
Коптево,САО,Муниципальный округ,5.38,102076,18973,2449.8,157633.0
Косино-Ухтомский,ВАО,Муниципальный округ,15.05,82267,5466,1336.0,132011.0
Котловка,ЮЗАО,Муниципальный округ,3.94,65892,16723,1104.1,171287.0
Крылатское,ЗАО,Муниципальный округ,12.04,82817,6878,1850.5,214855.0
Куркино,СЗАО,Муниципальный округ,7.9,34012,4305,900.0,168022.0
Левобережный,САО,Муниципальный округ,8.0,54596,6824,933.0,171944.0
Лефортово,ЮВАО,Муниципальный округ,9.06,95343,10523,1384.2,188256.0
Лианозово,СВАО,Муниципальный округ,5.79,85901,14836,1563.7,133827.0
Ломоносовский,ЮЗАО,Муниципальный округ,3.34,88320,26443,2881.5,229014.0
Лосиноостровский,СВАО,Муниципальный округ,5.54,82899,14963,1486.0,147845.0
Марфино,СВАО,Муниципальный округ,2.97,35387,11914,711.1,167887.0
Марьина Роща,СВАО,Муниципальный округ,4.68,67394,14400,1118.9,211977.0
Метрогородок,ВАО,Муниципальный округ,27.57,39024,1415,575.7,132441.0
Молжаниновский,САО,Муниципальный округ,21.78,12194,559,69.9,110572.0
Москворечье-Сабурово,ЮАО,Муниципальный округ,9.3,80673,8674,1314.7,164441.0
Нагатино-Садовники,ЮАО,Муниципальный округ,8.17,83496,10219,960.4,180555.0
Нагорный,ЮАО,Муниципальный округ,5.42,81731,15079,1551.4,171887.0
Некрасовка,ЮВАО,Муниципальный округ,5.58,71943,12893,385.5,110878.0
Нижегородский,ЮВАО,Муниципальный округ,7.57,45294,5983,722.3,167642.0
Новогиреево,ВАО,Муниципальный округ,4.45,98415,22115,1704.0,151974.0
Новокосино,ВАО,Муниципальный округ,3.6,107907,29974,1682.4,138743.0
Обручевский,ЮЗАО,Муниципальный округ,6.11,86793,14205,1742.0,200635.0
Останкинский,СВАО,Муниципальный округ,12.46,63514,5097,1131.4,214077.0
Печатники,ЮВАО,Муниципальный округ,17.89,86587,4839,1369.3,144301.0
Покровское-Стрешнево,СЗАО,Муниципальный округ,12.9,59402,4604,1006.7,194344.0
Преображенское,ВАО,Муниципальный округ,5.61,91503,16310,1453.2,150951.0
Проспект Вернадского,ЗАО,Муниципальный округ,4.65,63659,13690,1831.0,233500.0
Ростокино,СВАО,Муниципальный округ,3.54,40082,11322,732.8,175646.0
Рязанский,ЮВАО,Муниципальный округ,6.49,109733,16908,2025.9,155645.0
Савёловский,САО,Муниципальный округ,2.7,59287,21958,1120.0,200555.0
Свиблово,СВАО,Муниципальный округ,4.41,62847,14251,956.1,207658.0
Северное Бутово,ЮЗАО,Муниципальный округ,9.13,95882,10501,1751.0,156238.0
Северное Измайлово,ВАО,Муниципальный округ,4.2,87614,20860,1624.3,154447.0
Северный,СВАО,Муниципальный округ,10.29,38551,3746,620.0,120878.0
Сокол,САО,Муниципальный округ,3.72,59507,15996,1163.5,218854.0
Соколиная Гора,ВАО,Муниципальный округ,7.84,92126,11750,1422.0,190020.0
Сокольники,ВАО,Муниципальный округ,10.28,61487,5981,1247.2,235135.0
Текстильщики,ЮВАО,Муниципальный округ,5.92,105267,17781,1638.7,151307.0
Тимирязевский,САО,Муниципальный округ,10.43,83712,8026,1836.2,192644.0
Филёвский Парк,ЗАО,Муниципальный округ,9.62,94323,9804,1605.9,224957.0
Фили-Давыдково,ЗАО,Муниципальный округ,6.96,115128,16541,2388.6,222529.0
Ховрино,САО,Муниципальный округ,5.73,89018,15535,2450.2,159745.0
Черёмушки,ЮЗАО,Муниципальный округ,5.52,110753,20063,1656.7,213025.0
Чертаново Северное,ЮАО,Муниципальный округ,5.4,114548,21212,1899.5,180547.0
Щукино,СЗАО,Муниципальный округ,7.69,111203,14460,2062.0,233545.0
Южное Медведково,СВАО,Муниципальный округ,3.88,85698,22087,1355.3,155965.0
Южное Тушино,СЗАО,Муниципальный округ,7.94,109218,13755,1714.9,162854.0
Южнопортовый,ЮВАО,Муниципальный округ,4.53,74729,16496,1449.0,190357.0
Ярославский,СВАО,Муниципальный округ,7.99,98108,12278,1404.5,159241.0
